"year","adult","starting_out","training"
2022,"21.20","16.96","16.96"
2021,"20.00","16.00","16.00"
2020,"18.90","15.12","15.12"
2019,"17.70","14.16","14.16"
2018,"16.50","13.20","13.20"
2017,"15.75","12.60","12.60"
2016,"15.25","12.20","12.20"
2015,"14.75","11.80","11.80"
2014,"14.25","11.40","11.40"
2013,"13.75","11.00","11.00"
2012,"13.50","10.80","10.80"
2011,"13.00","10.40","10.40"
2010,"12.75","10.20","10.20"
2009,"12.50","10.00","10.00"
2008,"12.00","9.60","9.60"
2007,"11.25","9.00","9.00"
2006,"10.25","8.20","8.20"
2005,"9.50","7.60","7.60"
2004,"9.00","7.20","7.20"
2003,"8.50","6.80","6.80"
2002,"8.00","6.40","NaN"
2001,"7.70","5.40","NaN"
2000,"7.55","4.55","NaN"
